"label, target"     ,"any textual label"
"$t1, $t2, $t3"     ,"any integer register"
"$f2, $f4, $f6"     ,"even-numbered floating point register"
"$8"                ,"any Coprocessor 0 register"
"1"                 ,"Coprocessor 1 condition flag (0 to 7)"
"10"                ,"unsigned 5-bit integer (0 to 31)"
"-100"              ,"signed 16-bit integer (-32,768 to 32,767)"
"100"               ,"unsigned 16-bit integer (0 to 65,535)"
"100000"            ,"signed 32-bit integer (-2,147,483,648 to 2,147,483,647)"
"($t2)"             ,"contents of $t2"
"100($t2)"          ,"zero-extended unsigned 16-bit integer added to contents of $t2"
"-100($t2)"         ,"signed-extended 16-bit integer added to contents of $t2"
"100000($t2)"       ,"signed 32-bit integer added to contents of $t2"
"label"             ,"32-bit address of label"